丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[5]	А基[20]	А基[60]	А基[120]	А秖[5]	А秖[20]	А秖[60]	А秖[120]
150000	16796	16798	16782	16790	946	16782◆	16797□	16828□	16812◆	641◆	488◆	418◆	461◆
150100	16790	16800	16782	16800	538	16785◆	16796□	16827□	16813◆	685◆	503◆	421◆	462◆
150200	16800	16801	16796	16800	321	16788◆	16795□	16826□	16813◆	621□	502□	420□	457□
150300	16799	16803	16797	16800	216	16792◆	16794□	16826□	16813◆	580□	477□	419□	456□
150400	16800	16800	16792	16792	216	16797◆	16793□	16825□	16813◆	448□	460□	418□	454□
150500	16792	16794	16788	16790	181	16797	16793□	16824□	16814◆	295□	419□	415□	452□
150600	16789	16794	16783	16793	237	16795□	16793◆	16823□	16814◆	234□	394□	415◆	451□
150700	16792	16795	16789	16792	206	16794□	16793□	16822□	16814◆	211□	378□	416◆	450□
150800	16793	16797	16792	16797	118	16793□	16792□	16821□	16814◆	192□	353□	411□	447□
150900	16798	16802	16794	16801	177	16795◆	16793◆	16820□	16814◆	184□	345□	407□	447□
151000	16801	16807	16800	16803	241	16797◆	16793◆	16819□	16815◆	196◆	345□	406□	446□
151100	16803	16803	16801	16803	120	16799◆	16793◆	16818□	16815◆	173□	344□	404□	445□
151200	16803	16804	16800	16800	71	16801◆	16793◆	16817□	16815◆	146□	341□	400□	426□
151300	16801	16801	16795	16797	105	16801	16793	16815□	16815◆	143□	337□	379□	424□
151400	16796	16798	16793	16797	89	16800□	16793◆	16814□	16816◆	125□	325□	370□	419□
151500	16797	16800	16796	16798	61	16799□	16794◆	16813□	16816◆	89□	305□	359□	414□
151600	16797	16800	16796	16800	57	16799□	16795◆	16813□	16816◆	77□	292□	356□	413□
151700	16801	16803	16798	16803	162	16799◆	16795◆	16812□	16816◆	95◆	268□	353□	411□
151800	16803	16807	16803	16806	104	16801◆	16797◆	16811□	16816◆	95□	252□	352□	409□
