丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[5]	А基[20]	А基[60]	А基[120]	А秖[5]	А秖[20]	А秖[60]	А秖[120]
120800	16780	16781	16773	16780	252	16782□	16775◆	16789□	16803□	384□	489□	476◆	610□
120900	16779	16782	16776	16779	203	16780□	16776◆	16789□	16803□	271□	477□	461□	600□
121000	16777	16782	16770	16771	355	16778□	16776◆	16788□	16803□	235□	472□	458□	543□
121100	16771	16782	16771	16781	179	16778	16777◆	16787□	16803◆	225□	465□	456□	532□
121200	16781	16782	16774	16776	116	16778□	16777◆	16787□	16803◆	221□	453□	453□	522□
121300	16775	16780	16774	16776	101	16777□	16777□	16786□	16803□	191□	435□	452□	509□
121400	16775	16779	16773	16779	98	16777	16777◆	16786□	16803□	170□	429□	448□	499□
121500	16779	16786	16773	16775	361	16778◆	16777◆	16785□	16803□	171◆	427□	449◆	491□
121600	16774	16775	16765	16772	524	16776□	16777◆	16785□	16802□	240◆	444◆	429□	481□
121700	16772	16782	16770	16781	263	16777◆	16778◆	16785□	16802□	270◆	339□	426□	478□
121800	16780	16781	16775	16778	129	16777◆	16778◆	16785□	16802□	275◆	330□	418□	472□
121900	16779	16780	16775	16777	81	16777□	16778□	16785□	16802□	272□	300□	412□	467□
122000	16778	16779	16771	16771	109	16776□	16778	16785□	16801□	221□	272□	408□	464□
122100	16772	16776	16765	16771	306	16776□	16778□	16784□	16801□	178□	274◆	401□	459□
122200	16771	16782	16769	16782	343	16776◆	16778◆	16784□	16801□	194◆	276◆	396□	447□
122300	16781	16796	16780	16794	809	16779◆	16779◆	16783□	16800□	330◆	295◆	405◆	449◆
122400	16795	16813	16794	16809	1689	16786◆	16780◆	16783□	16800□	651◆	341◆	428◆	459◆
122500	16810	16815	16809	16811	573	16794◆	16781◆	16784◆	16800□	744◆	343◆	435◆	456□
122600	16811	16828	16810	16824	982	16804◆	16783◆	16784◆	16800□	879◆	380◆	440◆	460◆
122700	16823	16837	16823	16830	1106	16814◆	16786◆	16784◆	16800□	1032◆	429◆	452◆	466◆
122800	16829	16830	16824	16824	349	16820◆	16788◆	16784◆	16800□	940□	434◆	453◆	465□
122900	16824	16827	16821	16825	361	16823◆	16790◆	16784◆	16800◆	674□	442◆	456◆	463□
123000	16825	16831	16813	16816	633	16824◆	16793◆	16784◆	16800◆	686◆	456◆	459◆	461□
123100	16816	16824	16815	16818	226	16823□	16795◆	16784◆	16800□	535□	458◆	455□	458□
123200	16818	16820	16813	16815	257	16820□	16797◆	16785◆	16800□	365□	465◆	452□	458□
123300	16817	16817	16810	16812	296	16817□	16798◆	16785◆	16799□	355□	475◆	452◆	456□
123400	16812	16815	16809	16814	286	16815□	16800◆	16785◆	16799□	340□	484◆	453◆	448□
123500	16813	16818	16812	16813	230	16815□	16802◆	16786◆	16799□	259□	478□	450□	445□
123600	16812	16822	16812	16820	214	16815◆	16804◆	16786◆	16799□	257□	462□	448□	444□
123700	16821	16825	16821	16825	222	16817◆	16807◆	16787◆	16799◆	250□	460□	446□	438□
123800	16824	16830	16822	16830	374	16821◆	16809◆	16787◆	16799◆	265◆	472◆	450◆	436□
123900	16830	16853	16830	16849	1894	16828◆	16813◆	16788◆	16800◆	587◆	563◆	476◆	447◆
124000	16849	16876	16847	16871	2230	16839◆	16818◆	16790◆	16800◆	987◆	669◆	510◆	460◆
124100	16871	16874	16866	16867	831	16849◆	16823◆	16791◆	16801◆	1110◆	695◆	519◆	464◆
