number,date,work,person_1,person_2,vedio,station,,,,place,others_1,others_2,
,日期,      活       （專場、隊、時間）,逗哏,捧哏,片源,網站,單/群,相聲劇, 返場 （已觀看）,地點/專場/其他,補充,,
56,20180227,說學逗唱,董九力,張雲雷,玉子29,bilibili,,,,八隊小開箱、三慶園, ,,
57,20180303,鈴鐺譜,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣會場,,,
58,20180304,大保鑣,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣會場,,,
59,20180307,學跳舞,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,廣德樓晚場,,,
60,20180308,八大吉祥,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,湖廣會場,,,
61,20180310,洪洋洞,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣會場,,,
62,20180311,論捧逗,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,湖廣會場,,,
63,20180311,結巴論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣會場,,,
64,20180315,繞口令,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,南京德雲社,,,
65,20180317,汾河灣,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,ν,南京德雲社,忘搬椅子,,
66,20180318,打燈謎,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,南京德雲社,,,
67,20180318,反七口,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,南京德雲社,,,
68,20180323,拉洋片,李九春,楊九郎,一?白?字幕?,YouTube,,,,三慶園,,,
69,20180324,規矩論,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,南京德雲社,,,
70,20180331,歪唱太平歌詞,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,新街口,,,
71,20180401,學滿語,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,新街口,打你小嘴嘴,,
72,20180401,日本梆子,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,新街口,,,
73,20180403,雙字意,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,新街口,,,
74,20180406,打燈謎,孟鶴堂,周九良,叫什麼不吃?字幕?,bilibili,,,,新街口晚場,,,
75,20180408,勞動號子,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,, ν,新街口午場,返：良《送情郎》（東北小曲）、堂良《探清水河》（二人轉版）,,
76,20180422,批三國,高峰,欒雲平,,,,,,天橋劇場,,,
77,20180426,學評書,劉筱亭,張九泰,,,,,,三裡屯,,,
78,20180426,烏龍院,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,三裡屯,,,
79,20180428,論捧逗,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,, ν,三裡屯,,,
80,20180428,當行論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,三裡屯午場,,,
81,20180429,規矩論,劉筱亭,周九良,叫什麼不吃?字幕?,,,,,三裡屯,,,
82,20180501,偷論,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,三裡屯,,,
83,20180504,下象棋,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,三裡屯晚場,,,
84,20180505,洪洋洞,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,三裡屯,,,
85,20180506,黃鶴樓,張九齡,王九龍,小?與?摩字幕?,,,,,南京德雲社,,,
86,20180510,三字經,高峰,欒雲平,高?bot之?史上的今天,微博,,, ν,三裡屯午場,,,
87,20180510,八扇屏,侯筱樓、欒雲平、高峰、鄧德勇、翟國強、王碧輝、劉鶴春、關鶴柏、王昊悅、李昊洋、韓九鳴、郎昊辰、張九林,,高?bot之?史上的今天,微博,群,,,三裡屯晚場,方言版,,
